,File1,File2,Correlation
118,REPRO,NAGREEKCAP,-0.02254785341397285
119,REPRO,TATAGLOBAL,0.25217557339393104
120,REPRO,HUDCO,0.3044942359845139
121,REPRO,DYNAMATECH,0.12667688587852602
122,REPRO,EXCELINDUS,0.1837050863121296
123,REPRO,ARIES,0.24158938191086518
124,REPRO,WELSPUNIND,0.27519707626167644
125,REPRO,BEPL,0.17044078002377255
126,REPRO,NH,0.11826823122563906
127,REPRO,ALEMBICLTD,0.22095094012219024
128,REPRO,TRITURBINE,0.1407797069306247
129,REPRO,IRB,0.28815343173052593
130,REPRO,NETFCONSUM,0.258953808277985
131,REPRO,VIVIDHA,0.03929243649625452
132,REPRO,ICICIGI,0.2171281304026277
133,REPRO,HERCULES,0.2345012943142915
134,REPRO,NAVKARCORP,0.21693551970396457
135,REPRO,SOMATEX,-0.03840401274547736
136,REPRO,OLECTRA,0.11873473013987969
137,REPRO,JBMA,0.16813051819644634
138,REPRO,AGRITECH,0.002133967860154226
139,REPRO,IRCTC,0.12104192796585504
140,REPRO,JINDALPHOT,0.07785873143577582
141,REPRO,GOLDSHARE,0.004566557940733247
142,REPRO,KECL,0.06834456368303714
143,REPRO,INDIAGLYCO,0.2797509688655803
144,REPRO,DPSCLTD,0.11670752759656611
145,REPRO,GLOBUSSPR,0.11506420583709785
146,REPRO,CENTURYPLY,0.21780639374423855
147,REPRO,DCI,-0.17203405002228123
148,REPRO,GISOLUTION,0.008357689104803586
149,LPDC,KIRIINDUS,-0.06905194834935319
150,LPDC,HSCL,0.07283126061451534
151,LPDC,KHAITANLTD,-0.18788265901107865
152,LPDC,GLENMARK,0.00901050632710384
153,LPDC,JSWSTEEL,-0.008333767651135764
154,LPDC,STEELXIND,-0.025775413800703122
155,LPDC,PRECOT,0.032092167544003826
156,LPDC,RPOWER,-0.0314042532454494
157,LPDC,SALASAR,-0.06814658575748835
158,LPDC,BAJAJ-AUTO,-0.0006035690140797949
159,LPDC,MOHOTAIND,-0.019354943704816243
160,LPDC,SRTRANSFIN,0.05748105715027627
161,LPDC,IFBAGRO,-0.07149112445066548
162,LPDC,APOLLOTYRE,0.002700448600862763
163,LPDC,INDHOTEL,0.05634957052108155
164,LPDC,DECCANCE,0.08574232290583744
165,LPDC,ACE,0.06546510958443626
166,LPDC,ICIL,0.03818045208757305
167,LPDC,BRFL,0.06945647140378736
168,LPDC,INSPIRISYS,0.07022834812933441
169,LPDC,SNOWMAN,0.08622510955948327
170,LPDC,EQ30,-0.01178279645443552
171,LPDC,MADRASFERT,0.09666230130346026
172,LPDC,KSB,0.058768963470901034
173,LPDC,NESTLEIND,0.0152573348277006
174,LPDC,GOKEX,0.011751825339399405
175,LPDC,KDDL,0.08209231091225346
176,LPDC,PGEL,0.03348120017213278
177,LPDC,SYNDIBANK,0.33736191925904696
178,LPDC,HDFCSENETF,0.05206617937769148
179,LPDC,ABCAPITAL,0.0719375877902589
180,LPDC,SKIL,-0.07398172838730926
181,LPDC,AARTIDRUGS,0.05205686420333572
182,LPDC,VOLTAS,0.08677106070766213
183,LPDC,NAHARPOLY,0.07442695743045295
184,LPDC,COUNCODOS,0.021920074544700897
185,LPDC,CAREERP,-0.022368362122916312
186,LPDC,MANGLMCEM,0.03754234232786517
187,LPDC,DEEPAKFERT,0.11242475159720658
188,LPDC,CONFIPET,0.1062682399306716
189,LPDC,RESPONIND,0.0449671993222749
190,LPDC,PNB,0.031258190621251195
191,LPDC,NXTDIGITAL,0.002109917246120276
192,LPDC,IGL,0.04604729623828556
193,LPDC,IPCALAB,-0.020082294739379256
194,LPDC,HINDPETRO,-0.08600140969456686
195,LPDC,JKTYRE,0.03744322217569887
196,LPDC,ALPHAGEO,0.009264992163198251
197,LPDC,BLUESTARCO,0.09419503329913978
198,LPDC,SMSPHARMA,0.03458241891900955
199,LPDC,SATHAISPAT,0.04796699741278823
200,LPDC,CMICABLES,0.059129145888988564
201,LPDC,IPAPPM,0.08237332218788679
202,LPDC,GREENPLY,0.09387315108268186
203,LPDC,SPENCERS,0.050508352298035554
204,LPDC,WHIRLPOOL,0.016823343133803476
205,LPDC,BLS,0.14217543193852464
206,LPDC,REDINGTON,-0.0034044848016518627
207,LPDC,SORILINFRA,0.01614717215104013
208,LPDC,OSWALAGRO,0.09863270774805345
209,LPDC,BANARBEADS,0.044869661937681715
210,LPDC,LINCPEN,0.10510932335379423
211,LPDC,SYNCOM,0.022031516750261187
212,LPDC,IFGLEXPOR,0.018010716082919306
213,LPDC,MANAKCOAT,0.07332583537186114
214,LPDC,A2ZINFRA,0.11612728840415798
215,LPDC,ZENTEC,0.0743636845023768
216,LPDC,SCHAND,-0.02670884061340522
217,LPDC,RUCHIRA,0.053430340747539995
218,LPDC,RSYSTEMS,0.06453600489138889
219,LPDC,IVZINNIFTY,-0.1170262472208778
220,LPDC,OMAXAUTO,0.031126468164691348
221,LPDC,CANFINHOME,0.10870758263737607
222,LPDC,JAYAGROGN,0.027791126582640775
223,LPDC,KWALITY,-0.013343114378225487
224,LPDC,ADVANIHOTR,0.06414584607912407
225,LPDC,WILLAMAGOR,0.018419717753011603
226,LPDC,LSIL,0.07021373306396586
227,LPDC,SHAHALLOYS,0.11517692094049096
228,LPDC,SUMEETINDS,-0.12109975328631283
229,LPDC,CYIENT,0.03713192972968932
230,LPDC,FIEMIND,0.039389254086647923
231,LPDC,GATI,0.031869392894493115
232,LPDC,WALCHANNAG,0.006742065763519458
233,LPDC,TTL,0.04126154735238454
234,LPDC,CIMMCO,-0.03194301332899223
235,LPDC,CADILAHC,-0.006365832090861204
236,LPDC,HEG,0.06541133553857645
237,LPDC,ELECTCAST,0.04806238414424371
238,LPDC,KHADIM,0.0332561349634117
239,LPDC,HDFC,0.00630796874818509
240,LPDC,ZEEL,0.026696008992960922
241,LPDC,SBIN,-0.028363773147637425
242,LPDC,IDFCFIRSTB,0.08539161514466036
243,LPDC,VERTOZ,0.055357935916098354
244,LPDC,DHFL,-0.06289665524960877
245,LPDC,MMTC,0.059114937578502086
246,LPDC,SAFARI,-0.005180477416369067
247,LPDC,ICICINF100,0.07000296368582934
248,LPDC,JUSTDIAL,0.006115187260508948
249,LPDC,PALASHSECU,0.007057496944143847
250,LPDC,MAGMA,0.014652313863794968
251,LPDC,MUNJALAU,0.13398671334174683
252,LPDC,HNDFDS,-0.007861175785187007
253,LPDC,NETF,0.03593897531619482
254,LPDC,ORIENTCEM,0.019828014020286236
255,LPDC,APCOTEXIND,-0.0156904071761991
256,LPDC,LGBFORGE,0.06827569649571551
257,LPDC,ONWARDTEC,0.14565658596331343
258,LPDC,ORISSAMINE,-0.014739128299825582
259,LPDC,NATNLSTEEL,-0.03791890782915897
260,LPDC,VISAKAIND,0.057104394318859275
261,LPDC,LYPSAGEMS,0.020113344536472694
262,LPDC,HMVL,0.01609115590872992
263,LPDC,LINCOLN,0.0615273807436832
264,LPDC,MMP,0.01985243522776143
265,LPDC,GESHIP,0.07484705379432288
266,LPDC,NAGREEKCAP,0.10978080920052867
267,LPDC,TATAGLOBAL,0.07453580425611485
268,LPDC,HUDCO,0.08793267004614788
269,LPDC,DYNAMATECH,0.04878506745613768
270,LPDC,EXCELINDUS,0.10558204076807963
271,LPDC,ARIES,0.11011583682056861
272,LPDC,WELSPUNIND,0.12465769679477363
273,LPDC,BEPL,0.0708683583152353
274,LPDC,NH,0.06767287278208839
275,LPDC,ALEMBICLTD,0.045769547206472666
276,LPDC,TRITURBINE,0.03830276973467099
277,LPDC,IRB,0.09879729743078533
278,LPDC,NETFCONSUM,0.03337896979306372
279,LPDC,VIVIDHA,0.10593685709281427
280,LPDC,ICICIGI,0.08467361359815731
281,LPDC,HERCULES,0.09780083711381486
282,LPDC,NAVKARCORP,0.037647758229878675
283,LPDC,SOMATEX,0.07965133566878005
284,LPDC,OLECTRA,-0.0031514932137261475
285,LPDC,JBMA,0.0685170174896759
286,LPDC,AGRITECH,0.07106872623577529
287,LPDC,IRCTC,-0.02635450926968805
288,LPDC,JINDALPHOT,-0.004582856731066106
289,LPDC,GOLDSHARE,0.042602607917502394
290,LPDC,KECL,-0.026646072919231826
291,LPDC,INDIAGLYCO,0.023256912797996403
292,LPDC,DPSCLTD,0.07399024854692092
293,LPDC,GLOBUSSPR,0.03785590335090852
294,LPDC,CENTURYPLY,0.03139425525082218
295,LPDC,DCI,-0.2672512835631132
296,LPDC,GISOLUTION,0.061464000882313796
297,KIRIINDUS,HSCL,0.26178618526296515
298,KIRIINDUS,KHAITANLTD,0.01446337962585824
299,KIRIINDUS,GLENMARK,0.2268154073821867
300,KIRIINDUS,JSWSTEEL,0.24516176044387025
301,KIRIINDUS,STEELXIND,0.030507535923607085
302,KIRIINDUS,PRECOT,0.15546767297473454
303,KIRIINDUS,RPOWER,0.04604924391835689
304,KIRIINDUS,SALASAR,0.035504535154723675
305,KIRIINDUS,BAJAJ-AUTO,0.25562622463528795
306,KIRIINDUS,MOHOTAIND,0.09488442237542431
307,KIRIINDUS,SRTRANSFIN,0.194694684820945
308,KIRIINDUS,IFBAGRO,0.2407951079635667
309,KIRIINDUS,APOLLOTYRE,0.28409953393648135
310,KIRIINDUS,INDHOTEL,0.17569522593138334
311,KIRIINDUS,DECCANCE,0.27571610226479754
312,KIRIINDUS,ACE,0.22677248767851654
313,KIRIINDUS,ICIL,0.18694079390809812
314,KIRIINDUS,BRFL,-0.013362411999464202
315,KIRIINDUS,INSPIRISYS,0.04046585567361952
316,KIRIINDUS,SNOWMAN,0.2011484971797442
317,KIRIINDUS,EQ30,-0.09877991707832705
318,KIRIINDUS,MADRASFERT,0.1506326680302999
319,KIRIINDUS,KSB,0.2167420975431457
320,KIRIINDUS,NESTLEIND,0.13633256064012284
321,KIRIINDUS,GOKEX,0.22829013582779473
322,KIRIINDUS,KDDL,0.007287800570085762
323,KIRIINDUS,PGEL,0.061026818132569036
324,KIRIINDUS,SYNDIBANK,0.17593559926925556
325,KIRIINDUS,HDFCSENETF,-0.07710663781052858
326,KIRIINDUS,ABCAPITAL,0.29130938264499207
327,KIRIINDUS,SKIL,0.026401628047838594
328,KIRIINDUS,AARTIDRUGS,0.14139851003155704
329,KIRIINDUS,VOLTAS,0.22545685260428797
330,KIRIINDUS,NAHARPOLY,0.23044548071004944
331,KIRIINDUS,COUNCODOS,-0.027599911336181764
332,KIRIINDUS,CAREERP,0.23774902201126819
333,KIRIINDUS,MANGLMCEM,0.23104967350693334
334,KIRIINDUS,DEEPAKFERT,0.10189853078651148
335,KIRIINDUS,CONFIPET,0.17776100020022542
336,KIRIINDUS,RESPONIND,0.19662683855665775
337,KIRIINDUS,PNB,0.27271418297715794
338,KIRIINDUS,NXTDIGITAL,0.013450005808825589
339,KIRIINDUS,IGL,0.2460571450919094
340,KIRIINDUS,IPCALAB,0.07427402684596096
341,KIRIINDUS,HINDPETRO,0.2544440360292934
342,KIRIINDUS,JKTYRE,0.24743125294802776
343,KIRIINDUS,ALPHAGEO,0.1679791258547488
344,KIRIINDUS,BLUESTARCO,0.12250813567560506
345,KIRIINDUS,SMSPHARMA,0.1630883171358635
346,KIRIINDUS,SATHAISPAT,-0.06354455560582768
347,KIRIINDUS,CMICABLES,0.07376951592052217
348,KIRIINDUS,IPAPPM,0.24778578595837183
349,KIRIINDUS,GREENPLY,0.21011837211335618
350,KIRIINDUS,SPENCERS,0.2826371436964976
351,KIRIINDUS,WHIRLPOOL,0.18437510807058458
352,KIRIINDUS,BLS,-0.053444506403129644
353,KIRIINDUS,REDINGTON,0.12842105367194181
354,KIRIINDUS,SORILINFRA,-0.04246986110722199
355,KIRIINDUS,OSWALAGRO,0.14182491859094581
356,KIRIINDUS,BANARBEADS,0.09628870775793318
357,KIRIINDUS,LINCPEN,0.09518724048277519
358,KIRIINDUS,SYNCOM,0.12871412459923226
359,KIRIINDUS,IFGLEXPOR,0.2290759722685333
360,KIRIINDUS,MANAKCOAT,0.05989422707685663
361,KIRIINDUS,A2ZINFRA,0.06525565188005338
362,KIRIINDUS,ZENTEC,0.24461402478060446
363,KIRIINDUS,SCHAND,0.08243624773131678
364,KIRIINDUS,RUCHIRA,0.14232362741515772
