Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CLOSING_PRICE,LOG_DIFF_CH_CLOSING_PRICE
994,3MINDIA,EQ,N,20995.0,20000.0,20805.0,20131.65,20100.0,20575.25,3958,81098715.15,25439.95,16749.95,1484,INE470A01017,2020-03-02,20489.82,,
996,3MINDIA,EQ,N,20995.0,20312.0,20470.0,20632.95,20636.0,20131.65,7108,146876184.05,25439.95,16749.95,2360,INE470A01017,2020-03-03,20663.5,0.024596108991993,0.02459610899199305
1000,3MINDIA,EQ,N,22599.0,20430.15,20790.0,22335.75,22140.0,20632.95,39991,875865179.0,25439.95,16749.95,16719,INE470A01017,2020-03-04,21901.56,0.0792992213262344,0.07929922132623446
1006,3MINDIA,EQ,N,24349.9,22500.0,22777.0,22885.45,22774.0,22335.75,51972,1220356572.55,25439.95,16749.95,21851,INE470A01017,2020-03-05,23481.04,0.0243128036234328,0.0243128036234328
1007,3MINDIA,EQ,N,23638.85,21717.9,22380.0,22601.85,22480.0,22885.45,19947,457382700.2,25439.95,16749.95,10073,INE470A01017,2020-03-06,22929.9,-0.0124695761122435,-0.01246957611224353
1008,3MINDIA,EQ,N,22749.0,20975.0,22000.0,21038.45,20975.0,22601.85,20648,440940126.4,25439.95,16749.95,8740,INE470A01017,2020-03-09,21355.1,-0.0716800453808232,-0.07168004538082329
1009,3MINDIA,EQ,N,21285.15,20600.0,21190.0,20683.35,20621.0,21038.45,7387,154690360.5,25439.95,16749.95,3833,INE470A01017,2020-03-11,20940.89,-0.0170226871703249,-0.017022687170324957
1010,3MINDIA,EQ,N,20000.0,18550.0,20000.0,19057.8,19101.0,20683.35,28300,538807238.2,25439.95,16749.95,7779,INE470A01017,2020-03-12,19039.13,-0.0818525621936405,-0.08185256219364057
1011,3MINDIA,EQ,N,20050.0,17800.0,18000.0,19682.35,19900.0,19057.8,14994,288010315.95,25439.95,16749.95,6810,INE470A01017,2020-03-13,19208.37,0.0322458284740232,0.03224582847402324
1012,3MINDIA,EQ,N,19500.0,18520.0,19200.0,18654.55,18655.0,19682.35,7405,139531691.2,25439.95,16749.95,3958,INE470A01017,2020-03-16,18842.9,-0.0536322109014069,-0.05363221090140691
1013,3MINDIA,EQ,N,19100.0,18000.0,19100.0,18070.95,18058.0,18654.55,5774,106838015.7,25439.95,16749.95,3027,INE470A01017,2020-03-17,18503.29,-0.0317844076147686,-0.03178440761476864
1014,3MINDIA,EQ,N,18551.85,17425.05,18249.0,17539.25,17550.0,18070.95,8048,144260518.75,25439.95,16749.95,3744,INE470A01017,2020-03-18,17925.01,-0.0298644499254034,-0.02986444992540349
1015,3MINDIA,EQ,N,17546.85,16317.95,17000.0,16931.15,16750.0,17539.25,12132,204329664.95,25439.95,16317.95,5961,INE470A01017,2020-03-19,16842.21,-0.0352861060273959,-0.0352861060273959
1016,3MINDIA,EQ,N,17500.0,16900.0,17000.0,17366.3,17396.0,16931.15,6448,110877746.0,25439.95,16317.95,2754,INE470A01017,2020-03-20,17195.68,0.025376426029199,0.025376426029199095
1017,3MINDIA,EQ,N,16600.0,15701.0,16300.0,15887.25,15818.0,17366.3,14420,231282818.35,25439.95,15701.0,4040,INE470A01017,2020-03-23,16039.03,-0.0890146458740233,-0.0890146458740233
1018,3MINDIA,EQ,N,16600.0,15890.0,16350.0,16017.5,16017.5,15887.25,6269,102120456.95,25439.95,15701.0,3331,INE470A01017,2020-03-24,16289.75,0.0081649737805005,0.008164973780500517
1019,3MINDIA,EQ,N,16989.9,15700.0,16019.0,16861.35,16850.0,16017.5,10888,175490103.1,25439.95,15700.0,3258,INE470A01017,2020-03-25,16117.75,0.051342146011521,0.051342146011521095
1020,3MINDIA,EQ,N,18200.0,16450.0,16860.0,17939.85,17999.0,16861.35,8775,155864445.65,25439.95,15700.0,4618,INE470A01017,2020-03-26,17762.33,0.0620004748491211,0.06200047484912119
1021,3MINDIA,EQ,N,18500.0,17416.05,18500.0,17648.6,17650.0,17939.85,13810,252595786.35,25439.95,15700.0,2129,INE470A01017,2020-03-27,18290.79,-0.0163680352716966,-0.016368035271696613
1022,3MINDIA,EQ,N,17490.0,17000.0,17210.0,17436.35,17480.0,17648.6,2764,47888348.9,25439.95,15700.0,1422,INE470A01017,2020-03-30,17325.74,-0.0120993525339745,-0.012099352533974539
1023,3MINDIA,EQ,N,19400.0,17764.9,17799.9,18827.95,19080.05,17436.35,6663,123350573.2,25439.95,15700.0,3088,INE470A01017,2020-03-31,18512.77,0.076785360330069,0.076785360330069
1024,3MINDIA,EQ,N,19080.05,18100.0,19080.05,18469.55,18350.0,18827.95,2822,52061227.2,25439.95,15700.0,1802,INE470A01017,2020-04-01,18448.34,-0.0192190378349774,-0.01921903783497747
1025,3MINDIA,EQ,N,18650.0,17175.0,18410.0,17490.1,17400.05,18469.55,7588,132897327.6,25439.95,15700.0,3561,INE470A01017,2020-04-03,17514.14,-0.0544884235140497,-0.0544884235140497
1026,3MINDIA,EQ,N,18940.0,18000.0,18500.0,18755.7,18916.0,17490.1,9694,179236528.05,25439.95,15700.0,4092,INE470A01017,2020-04-07,18489.43,0.0698626996507307,0.06986269965073078
