FILENAME1,FILENAME2,CORRELATION
SCHAEFFLER,SCHAEFFLER,1.0
SCHAEFFLER,UBL,0.15236536627469305
SCHAEFFLER,PAYTM,-0.029901129193979897
SCHAEFFLER,ADANIGREEN,-7.664459429888832e-05
SCHAEFFLER,TATACONSUM,0.165718066573371
SCHAEFFLER,OFSS,0.09065422188816573
SCHAEFFLER,HEROMOTOCO,0.12658204807145249
SCHAEFFLER,LT,0.1604508435457871
SCHAEFFLER,RELIANCE,0.09760416972938986
SCHAEFFLER,SUZLON,0.019036863660294417
SCHAEFFLER,ICICIGI,0.12842079640145038
SCHAEFFLER,NTPC,0.08059080916388106
SCHAEFFLER,ABCAPITAL,0.14632614883014483
SCHAEFFLER,PGHH,0.09009404933190703
SCHAEFFLER,TATAELXSI,0.05569195651033744
SCHAEFFLER,HINDUNILVR,0.09640702584337757
SCHAEFFLER,HINDZINC,0.054939868796040264
SCHAEFFLER,GODREJPROP,0.1310459963110167
SCHAEFFLER,PIDILITIND,0.11346540454119816
SCHAEFFLER,IDBI,0.09400663815883796
SCHAEFFLER,NHPC,0.08851371514308402
SCHAEFFLER,POWERGRID,0.04923218592801241
SCHAEFFLER,SIEMENS,0.10338327549061069
SCHAEFFLER,TIINDIA,0.07910803028835203
SCHAEFFLER,TATAMOTORS,0.13561826164401192
SCHAEFFLER,ATGL,0.018713311588244717
SCHAEFFLER,TATACOMM,0.11946644167374079
SCHAEFFLER,CONCOR,0.10184136413539907
SCHAEFFLER,HDFCBANK,0.14014413637471101
SCHAEFFLER,DRREDDY,0.053955126801577664
SCHAEFFLER,PFC,0.12145335825810936
SCHAEFFLER,CIPLA,0.05304457012819955
SCHAEFFLER,FEDERALBNK,0.10432123082850848
SCHAEFFLER,THERMAX,0.07712786050573486
SCHAEFFLER,TVSMOTOR,0.07631577089124497
SCHAEFFLER,AUROPHARMA,0.10691009397629106
SCHAEFFLER,ASHOKLEY,0.11003758389406171
SCHAEFFLER,IDEA,0.08329125717547296
SCHAEFFLER,HAVELLS,0.11376939095127274
SCHAEFFLER,M%26M,0.10334920627545151
SCHAEFFLER,ONGC,0.08007042248881978
SCHAEFFLER,GRASIM,0.117607400642868
SCHAEFFLER,OBEROIRLTY,0.10010942082242616
SCHAEFFLER,DEEPAKNTR,0.11808300573463151
SCHAEFFLER,ULTRACEMCO,0.10493028111918284
SCHAEFFLER,KPITTECH,0.0907565149198794
SCHAEFFLER,GICRE,0.09958905615483331
SCHAEFFLER,WIPRO,0.10276772440731363
SCHAEFFLER,ITC,0.11215754435873292
SCHAEFFLER,INDUSTOWER,0.0612903777587444
SCHAEFFLER,POLYCAB,0.14792372024503303
SCHAEFFLER,MUTHOOTFIN,0.09362549438252034
